Date,Open,High,Low,Close,Adj Close,Volume
2024-06-04,280.1000061035156,281.5,228.0,240.6999969482422,240.6999969482422,345494
2024-06-05,245.0,262.3999938964844,235.9499969482422,253.5,253.5,108112
2024-06-06,257.0,294.8999938964844,257.0,271.95001220703125,271.95001220703125,289886
2024-06-07,273.8999938964844,284.6499938964844,270.04998779296875,272.20001220703125,272.20001220703125,57392
2024-06-10,275.0,284.79998779296875,269.95001220703125,281.3500061035156,281.3500061035156,75092
2024-06-11,283.79998779296875,308.0,278.95001220703125,295.45001220703125,295.45001220703125,168183
2024-06-12,297.75,315.75,296.0,305.75,305.75,177245
2024-06-13,306.3999938964844,317.3999938964844,300.3999938964844,315.25,315.25,109846
2024-06-14,314.20001220703125,315.6000061035156,293.1000061035156,294.70001220703125,294.70001220703125,157014
2024-06-18,295.0,299.20001220703125,279.8500061035156,283.29998779296875,283.29998779296875,137320
2024-06-19,285.0,290.3500061035156,280.04998779296875,281.95001220703125,281.95001220703125,92562
2024-06-20,282.54998779296875,292.0,279.0,288.70001220703125,288.70001220703125,63115
2024-06-21,293.0,299.0,288.20001220703125,290.04998779296875,290.04998779296875,66558
