Date,Open,High,Low,Close,Adj Close,Volume
1996-05-14,47.95000076293945,47.0,45.79999923706055,46.400001525878906,21.214611053466797,3100
1996-05-15,46.400001525878906,48.0,47.0,48.0,21.946151733398438,300
1996-05-16,46.75,50.849998474121094,46.75,50.20000076293945,22.95201301574707,3200
1996-05-17,50.0,50.25,49.5,50.0,22.860576629638672,500
1996-05-20,50.0,47.70000076293945,46.54999923706055,47.70000076293945,21.808990478515625,300
1996-05-21,46.5,47.0,44.0,45.150001525878906,20.643096923828125,5300
1996-05-22,46.0,46.0,45.25,45.25,20.688825607299805,500
1996-05-23,45.25,45.5,44.75,45.5,20.80312156677246,600
1996-05-24,45.0,45.5,44.25,44.599998474121094,20.39162826538086,1800
1996-05-27,44.599998474121094,43.75,43.150001525878906,43.150001525878906,19.728673934936523,600
1996-05-28,43.150001525878906,43.25,41.0,43.099998474121094,19.705812454223633,900
1996-05-29,44.5,45.25,43.29999923706055,45.25,20.688825607299805,1200
1996-05-30,45.25,45.349998474121094,42.20000076293945,43.5,19.888696670532227,2500
1996-05-31,46.0,46.0,43.25,43.75,20.003005981445312,2100
1996-06-03,44.04999923706055,44.04999923706055,43.5,43.75,20.003005981445312,600
1996-06-04,43.75,44.25,43.0,43.650001525878906,19.9572811126709,4100
1996-06-05,44.5,45.25,44.099998474121094,44.54999923706055,20.368778228759766,3200
1996-06-06,44.5,45.75,44.5,45.75,20.91741943359375,1400
1996-06-07,45.95000076293945,47.0,45.04999923706055,46.95000076293945,21.46607780456543,5000
1996-06-10,47.0,47.0,46.0,46.150001525878906,22.387784957885742,2200
1996-06-11,45.75,45.75,43.75,44.099998474121094,21.393310546875,2200
1996-06-12,46.5,47.5,45.0,45.0,21.829914093017578,2200
1996-06-13,45.0,45.0,44.5,44.849998474121094,21.757143020629883,2800
1996-06-14,45.25,45.25,45.0,45.0,21.829914093017578,1500
1996-06-17,46.0,46.0,44.0,44.25,21.46607780456543,1800
1996-06-18,44.0,44.0,40.349998474121094,40.849998474121094,19.81670570373535,3700
1996-06-19,44.75,45.150001525878906,44.75,45.150001525878906,21.90267562866211,9300
1996-06-20,44.04999923706055,45.0,43.0,45.0,21.829914093017578,3300
1996-06-21,45.0,45.45000076293945,44.0,45.0,21.829914093017578,2500
1996-06-24,44.0,44.45000076293945,43.099998474121094,43.150001525878906,20.932462692260742,5200
1996-06-25,43.0,43.25,42.54999923706055,42.79999923706055,20.76266860961914,3000
1996-06-26,43.900001525878906,43.900001525878906,41.0,41.04999923706055,19.91373062133789,3200
1996-06-27,39.5,42.0,38.900001525878906,42.0,20.374584197998047,4100
1996-06-28,41.25,41.5,41.0,41.0,19.889474868774414,2200
1996-07-01,40.5,41.5,40.25,40.25,19.52564239501953,400
1996-07-02,40.0,40.0,38.599998474121094,38.599998474121094,18.72521209716797,2000
1996-07-03,39.0,39.5,38.5,38.5,18.676700592041016,1600
1996-07-04,37.0,38.0,37.0,37.5,18.191593170166016,2800
1996-07-05,38.75,38.75,37.400001525878906,37.400001525878906,18.143083572387695,1100
1996-07-08,36.0,36.5,36.0,36.5,17.706483840942383,1300
1996-07-09,35.54999923706055,36.0,34.5,36.0,17.46392822265625,2400
1996-07-10,35.5,37.0,35.5,35.599998474121094,17.269886016845703,1700
1996-07-11,36.5,36.5,36.0,36.0,17.46392822265625,400
1996-07-12,37.20000076293945,37.20000076293945,36.04999923706055,36.04999923706055,17.488183975219727,600
1996-07-15,37.54999923706055,37.900001525878906,37.0,37.5,18.191593170166016,1500
1996-07-16,38.5,38.5,36.099998474121094,36.099998474121094,17.512439727783203,3200
1996-07-17,36.04999923706055,37.75,35.79999923706055,36.0,17.46392822265625,5200
1996-07-18,36.0,37.099998474121094,35.0,35.0,16.978816986083984,4100
1996-07-19,36.04999923706055,36.900001525878906,34.20000076293945,34.900001525878906,16.930307388305664,15000
1996-07-22,39.0,39.0,36.0,36.04999923706055,17.488183975219727,400
1996-07-23,37.0,37.0,35.04999923706055,35.29999923706055,17.124351501464844,15100
1996-07-24,36.5,36.5,35.75,35.75,17.3426513671875,200
1996-07-25,35.099998474121094,35.099998474121094,34.75,34.75,16.8575439453125,800
1996-07-26,34.0,34.0,34.0,34.0,16.49371337890625,200
